1	1.6666667e-01	1.6666669e-01
2	2.1666667e-01	2.1666670e-01
3	2.4047619e-01	2.4047637e-01
4	2.5436509e-01	2.5436521e-01
5	2.6345599e-01	2.6345611e-01
6	2.6986626e-01	2.6986647e-01
7	2.7462816e-01	2.7462864e-01
8	2.7830464e-01	2.7830505e-01
9	2.8122860e-01	2.8122902e-01
10	2.8360957e-01	2.8361034e-01
11	2.8558585e-01	2.8558731e-01
12	2.8725252e-01	2.8725433e-01
13	2.8867701e-01	2.8867912e-01
14	2.8990853e-01	2.8991032e-01
15	2.9098380e-01	2.9098606e-01
16	2.9193076e-01	2.9193306e-01
17	2.9277110e-01	2.9277325e-01
18	2.9352185e-01	2.9352379e-01
19	2.9419661e-01	2.9419899e-01
20	2.9480636e-01	2.9480743e-01
21	2.9536006e-01	2.9536057e-01
22	2.9586512e-01	2.9586601e-01
23	2.9632765e-01	2.9632950e-01
24	2.9675281e-01	2.9675484e-01
25	2.9714498e-01	2.9714775e-01
26	2.9750782e-01	2.9751015e-01
27	2.9784453e-01	2.9784584e-01
28	2.9815781e-01	2.9815865e-01
29	2.9845005e-01	2.9845047e-01
30	2.9872328e-01	2.9872322e-01
31	2.9897928e-01	2.9897881e-01
32	2.9921967e-01	2.9921913e-01
33	2.9944581e-01	2.9944611e-01
34	2.9965892e-01	2.9965973e-01
35	2.9986012e-01	2.9986191e-01
36	3.0005038e-01	3.0005264e-01
37	3.0023056e-01	3.0023193e-01
38	3.0040145e-01	3.0040359e-01
39	3.0056372e-01	3.0056763e-01
40	3.0071804e-01	3.0072403e-01
41	3.0086496e-01	3.0087280e-01
42	3.0100504e-01	3.0101395e-01
43	3.0113870e-01	3.0114746e-01
44	3.0126637e-01	3.0127716e-01
45	3.0138847e-01	3.0139923e-01
46	3.0150536e-01	3.0151367e-01
47	3.0161732e-01	3.0162811e-01
48	3.0172470e-01	3.0173492e-01
49	3.0182779e-01	3.0183792e-01
50	3.0192679e-01	3.0193710e-01
51	3.0202198e-01	3.0203247e-01
52	3.0211356e-01	3.0212402e-01
53	3.0220172e-01	3.0221176e-01
54	3.0228665e-01	3.0229568e-01
55	3.0236855e-01	3.0237579e-01
56	3.0244756e-01	3.0245590e-01
57	3.0252382e-01	3.0253220e-01
58	3.0259749e-01	3.0260468e-01
59	3.0266872e-01	3.0267715e-01
60	3.0273759e-01	3.0274963e-01
61	3.0280423e-01	3.0281830e-01
62	3.0286875e-01	3.0288315e-01
63	3.0293125e-01	3.0294800e-01
